#mockID apara_BAO aperp_BAO apara_RSD aperp_RSD fs8
220 0.969522 1.006780 0.928401 1.060171 0.656045
221 1.013220 0.991144 1.012269 0.984113 0.481625
222 1.022770 0.968058 0.988091 0.979415 0.467304
223 1.012090 1.000440 0.957072 0.996307 0.471084
224 0.996902 0.980957 0.951476 0.989036 0.509151
225 1.022950 1.022240 0.852247 1.032803 0.612136
226 1.007510 1.012410 0.885090 1.029244 0.625277
227 0.973854 1.019730 0.892289 1.013797 0.584564
228 0.984047 1.035920 1.003569 1.016160 0.511174
229 1.015120 0.984455 0.956386 0.985703 0.508859
230 0.998841 1.019220 0.945247 1.045913 0.576990
231 1.030550 0.990371 0.954273 1.003047 0.553498
232 1.029570 1.004450 0.961092 1.010191 0.542834
233 1.039870 0.985485 0.992832 0.979619 0.427595
234 0.980969 1.024800 0.974860 1.001736 0.519671
235 1.059360 0.989702 1.023309 0.982401 0.492200
236 0.973503 1.036700 1.025451 0.980034 0.490560
237 1.006520 0.990282 0.880243 1.005071 0.554192
238 0.965438 1.059230 0.936734 1.025406 0.574844
239 1.022050 1.005650 1.020632 0.980233 0.464323
240 0.972699 0.994404 0.952172 1.002943 0.518456
241 1.000700 1.023840 0.902940 1.049658 0.618326
242 1.011740 1.013110 1.003433 1.011186 0.500937
243 0.992233 1.011790 1.006893 0.992509 0.438703
244 1.006720 0.992661 0.940492 0.980142 0.507268
245 1.046140 0.982357 1.132279 0.942147 0.355842
246 1.053210 0.991615 1.037762 0.983775 0.485246
247 1.027710 0.995473 1.085113 0.971289 0.472071
248 1.041720 0.999381 1.002339 0.989613 0.494991
249 1.026680 0.998974 1.047378 0.954612 0.393001
250 1.055310 0.987488 0.993292 0.991524 0.518106
251 1.032840 0.990587 1.011567 0.994215 0.437909
252 1.030700 0.995437 0.958442 0.993367 0.504232
253 1.047730 1.013940 0.964242 1.033979 0.542905
254 0.988189 1.041060 0.912806 1.015654 0.558417
255 1.025840 1.019080 0.951251 1.036036 0.597638
256 1.003170 1.005880 0.932465 1.036834 0.586626
257 1.023240 0.991027 0.966977 0.977220 0.487784
258 1.028440 1.000860 0.859675 1.051163 0.598427
259 1.032560 1.012960 0.961784 1.030799 0.547406
260 0.947231 1.014520 0.923326 1.032381 0.537404
261 0.991904 1.024120 0.940405 1.029537 0.548766
262 1.019760 0.968216 0.987692 0.976049 0.464604
263 1.039470 0.984690 1.045276 0.929406 0.357516
